sequenceID	m49_country.display_name	gb_length	non_n_length	gb_genotype	recogniser_genotypes	reverse_complement	rotation
AB039742	-	681	681	-	C	FALSE	0
AB039848	-	485	485	-	I	FALSE	0
AB039849	-	485	485	-	B	FALSE	0
AB039850	-	485	485	-	I/A	FALSE	0
AB039851	-	485	485	-	C	FALSE	0
AB039852	-	485	485	-	I	FALSE	0
AB039853	-	485	485	-	C/I	FALSE	0
AB039854	-	485	485	-	C/A	FALSE	0
AB039855	-	485	485	-	C	FALSE	0
AB039856	-	485	485	-	B	FALSE	0
AB039857	-	485	485	-	I	FALSE	0
AB039858	-	485	485	-	C	FALSE	0
AB042244	-	1203	1203	-	C	FALSE	834
AB042245	-	1203	1203	-	C	FALSE	834
AB042246	-	1203	1203	-	C	FALSE	834
AB042247	-	1203	1203	-	C	FALSE	834
AB042282	-	3215	3215	-	C	FALSE	0
AB042283	-	3215	3215	-	C	FALSE	0
AB042284	-	3215	3214	-	C	FALSE	0
AB042285	-	3143	3143	-	C	FALSE	0
AB042796	-	210	210	-	C	FALSE	0
AB042797	-	210	210	-	C	FALSE	0
AB042798	-	210	210	-	C	FALSE	0
AB042799	-	210	210	-	C	FALSE	0
AB042800	-	210	210	-	C	FALSE	0
AB042801	-	210	210	-	C	FALSE	0
AB042802	-	210	210	-	C	FALSE	0
AB042803	-	210	210	-	C	FALSE	0
AB048701	-	3182	3182	-	D	FALSE	0
AB048702	-	3182	3182	-	D	FALSE	0
AB048703	-	3182	3182	-	D	FALSE	0
AB048704	-	3215	3215	-	C	FALSE	0
AB048705	-	3194	3194	-	C	FALSE	0
AB049609	-	3215	3215	-	C	FALSE	0
AB049610	-	3215	3215	-	C	FALSE	0
AB050018	-	3215	3215	-	C	FALSE	0
AB055637	China	485	485	-	C/A	FALSE	0
AB055638	China	485	485	-	I	FALSE	0
AB055639	China	485	485	-	I/A	FALSE	0
AB055640	China	485	485	-	C	FALSE	0
AB055641	China	485	485	-	C/I	FALSE	0
AB055642	China	485	485	-	C/A	FALSE	0
AB055643	China	485	485	-	C	FALSE	0
AB055644	China	485	485	-	B	FALSE	0
AB055645	China	485	485	-	C	FALSE	0
AB056513	-	3248	3248	-	G	FALSE	0
AB056514	-	3239	3239	-	G	FALSE	0
AB056515	-	3248	3248	-	G	FALSE	0
AB056516	-	3089	3089	-	G	FALSE	2795
AB059659	United States	3215	3215	-	H	FALSE	0
AB059660	United States	3215	3215	-	H	FALSE	0
AB059661	United States	3215	3215	-	H	FALSE	0
AB064310	United States	3248	3248	-	G	FALSE	0
AB064311	United States	3248	3248	-	G	FALSE	0
AB064312	United States	3248	3248	-	G	FALSE	0
AB064313	United States	3248	3248	-	G	FALSE	0
AB064314	United States	3221	3221	-	A	FALSE	0
AB064315	United States	3206	3206	-	H	FALSE	0
AB064316	United States	3215	3215	-	F	FALSE	0
AB067454	-	469	469	-	C/B	FALSE	0
AB067455	China	470	470	-	C	FALSE	0
AB067457	-	469	469	-	C/B	FALSE	0
AB067458	-	470	470	-	C	FALSE	0
AB067459	-	470	470	-	C/B	FALSE	0
AB067460	-	470	470	-	C	FALSE	0
AB067461	-	470	470	-	C	FALSE	0
AB067462	China	470	470	-	C	FALSE	0
AB067463	China	595	595	-	C	FALSE	0
AB067464	China	706	706	-	C	FALSE	0
AB067465	China	709	709	-	C	FALSE	0
AB073430	-	543	543	G	G	FALSE	0
AB073431	-	543	543	G	G	FALSE	0
AB073432	-	543	543	G	G	FALSE	0
AB073433	-	543	543	G	G	FALSE	0
AB073434	-	543	543	G	G	FALSE	0
AB073435	-	543	543	G	G	FALSE	0
AB073436	-	507	507	G	A	FALSE	0
AB073437	-	507	507	G	A	FALSE	0
AB073438	-	543	543	G	A	FALSE	0
AB073439	-	507	507	G	A	FALSE	0
AB073440	-	543	543	G	G	FALSE	0
AB073441	-	507	507	G	A	FALSE	0
AB073442	-	507	507	G	A	FALSE	0
AB073443	-	507	507	G	A	FALSE	0
AB073444	-	507	507	G	A	FALSE	0
AB073445	-	507	507	G	A	FALSE	0
AB073446	-	507	507	G	A	FALSE	0
AB073447	-	507	507	G	A	FALSE	0
AB073448	-	507	507	G	A	FALSE	0
AB073449	-	507	507	G	A	FALSE	0
AB073450	-	543	543	G	G	FALSE	0
AB073451	-	543	543	G	G	FALSE	0
AB073452	-	543	543	G	G	FALSE	0
AB073453	-	543	543	G	G	FALSE	0
AB073454	-	543	543	G	G	FALSE	0
AB073455	-	543	543	G	G	FALSE	0
AB073456	-	543	543	G	G	FALSE	0
AB073457	-	543	543	G	G	FALSE	0
AB073458	-	543	543	G	G	FALSE	0
AB073459	-	543	543	G	G	FALSE	0
AB073460	-	334	334	G	A	FALSE	0
AB073461	-	334	334	G	A	FALSE	0
AB073462	-	334	334	G	A	FALSE	0
AB073463	-	331	331	G	G	FALSE	0
AB073464	-	331	331	G	G	FALSE	0
AB073465	-	331	331	G	G	FALSE	0
AB073467	-	334	334	G	A	FALSE	0
AB073470	-	331	331	G	G	FALSE	0
AB073821	-	3215	3215	-	B	FALSE	0
AB073822	-	3215	3215	-	B	FALSE	0
AB073823	-	3215	3215	-	B	FALSE	0
AB073824	-	3215	3215	-	B	FALSE	0
AB073825	-	3215	3214	-	B	FALSE	0
AB073826	-	3215	3215	-	B	FALSE	0
AB073827	-	3215	3215	-	B	FALSE	0
AB073828	-	3215	3215	-	B	FALSE	0
AB073829	-	3215	3215	-	B	FALSE	0
AB073830	-	3215	3215	-	B	FALSE	0
AB073831	-	3215	3215	-	B	FALSE	0
AB073832	-	3215	3215	-	B	FALSE	0
AB073833	-	3215	3215	-	B	FALSE	0
AB073834	-	3215	3215	-	B	FALSE	0
AB073835	-	3215	3215	-	B	FALSE	0
AB073836	-	3215	3215	-	B	FALSE	0
AB073837	-	3215	3215	-	B	FALSE	0
AB073838	-	3215	3215	-	B	FALSE	0
AB073839	-	3215	3215	-	B	FALSE	0
AB073840	-	3215	3215	-	B	FALSE	0
AB073841	-	3215	3215	-	B	FALSE	0
AB073842	-	3215	3215	-	B	FALSE	0
AB073843	-	3215	3215	-	B	FALSE	0
AB073844	-	3215	3215	-	B	FALSE	0
AB073845	-	3215	3215	-	B	FALSE	0
AB073846	-	3215	3215	-	B	FALSE	0
AB073847	-	3215	3215	-	B	FALSE	0
AB073848	-	3215	3215	-	B	FALSE	0
AB073849	-	3215	3213	-	B	FALSE	0
AB073850	-	3215	3215	-	B	FALSE	0
AB073851	-	3215	3215	-	B	FALSE	0
AB073852	-	3215	3215	-	B	FALSE	0
AB073853	-	3215	3215	-	B	FALSE	0
AB073854	-	3215	3215	-	B	FALSE	0
AB073855	-	3215	3215	-	B	FALSE	0
AB073856	-	3215	3215	-	B	FALSE	0
AB073857	-	3215	3215	-	B	FALSE	0
AB073858	-	3215	3215	-	B	FALSE	0
AB074047	Thailand	3212	3212	-	C	FALSE	0
AB074755	Thailand	3215	3215	-	C	FALSE	0
AB074756	Thailand	3215	3215	-	C	FALSE	0
AB074839	-	1203	1203	-	C	FALSE	825
AB074840	-	1203	1203	-	C	FALSE	825
AB074841	-	1147	1147	-	C	FALSE	779
AB074842	-	1170	1170	-	D	FALSE	834
AB074843	-	1170	1170	-	D	FALSE	834
AB074844	-	1170	1170	-	D	FALSE	834
AB074845	-	1200	1200	-	E	FALSE	837
AB076678	Malawi	3221	3221	-	A	FALSE	0
AB076679	Malawi	3221	3221	-	A	FALSE	0
AB076680	Malawi	846	846	-	A	FALSE	0
AB076681	Malawi	846	846	-	A	FALSE	0
AB076682	Malawi	846	846	-	A	FALSE	0
AB076683	Malawi	846	846	-	A	FALSE	0
AB076684	Malawi	831	831	-	A	FALSE	0
AB076685	Malawi	846	846	-	A	FALSE	0
AB076686	Malawi	846	846	-	A	FALSE	0
AB076687	Malawi	846	846	-	A	FALSE	0
AB076688	Malawi	846	846	-	A	FALSE	0
AB076689	Malawi	846	846	-	A	FALSE	0
AB076690	Malawi	846	846	-	A	FALSE	0
AB078031	-	3182	3182	-	D	FALSE	0
AB078032	-	3182	3182	-	D	FALSE	0
AB078033	-	3182	3182	-	D	FALSE	0
AB086397	Japan	3215	3215	-	F	FALSE	0
AB090170	-	216	216	A	A	FALSE	0
AB090171	-	216	216	A	A	FALSE	0
AB090172	-	216	216	A	A	FALSE	0
AB090173	-	216	216	A	A	FALSE	0
AB090174	-	216	216	A	A	FALSE	0
AB090175	-	216	216	B	B/I/C	FALSE	0
AB090176	-	216	216	B	C/B/I	FALSE	0
AB090177	-	216	216	B	C/I/E/D/B	FALSE	0
AB090178	-	216	216	B	I/C/B	FALSE	0
AB090179	-	216	216	B	C/I	FALSE	0
AB090180	-	216	216	B	B	FALSE	0
AB090181	-	216	216	B	B	FALSE	0
AB090182	-	216	216	B	B/I/C	FALSE	0
AB090183	-	216	216	B	B	FALSE	0
AB090184	-	216	216	B	B	FALSE	0
AB090185	-	216	216	B	B/C/I	FALSE	0
AB090186	-	216	216	B	B	FALSE	0
AB090187	-	216	216	B	B	FALSE	0
AB090188	-	216	216	B	H/F	FALSE	0
AB090189	-	216	216	B	B	FALSE	0
AB090190	-	216	216	B	B	FALSE	0
AB090191	-	216	216	B	B	FALSE	0
AB090192	-	216	216	B	B	FALSE	0
AB090193	-	216	216	B	B	FALSE	0
AB090194	-	216	216	B	C/I	FALSE	0
AB090195	-	216	216	B	C/B	FALSE	0
AB090196	-	216	216	B	B	FALSE	0
AB090197	-	216	216	B	B	FALSE	0
AB090198	-	216	216	B	B	FALSE	0
AB090199	-	216	216	B	B	FALSE	0
AB090200	-	216	216	B	B	FALSE	0
AB090201	-	216	216	C	I/C	FALSE	0
AB090202	-	216	216	C	I/C	FALSE	0
AB090203	-	216	216	C	I/C/B/F	FALSE	0
AB090204	-	216	216	C	I/C	FALSE	0
AB090205	-	216	216	C	I/C	FALSE	0
AB090206	-	216	216	C	C/I	FALSE	0
AB090207	-	216	216	C	C/I	FALSE	0
AB090208	-	216	216	C	C/I	FALSE	0
AB090209	-	216	216	C	C/I	FALSE	0
AB090210	-	216	216	C	A/D	FALSE	0
AB090211	-	216	216	C	C/I	FALSE	0
AB090212	-	216	216	C	C/I	FALSE	0
AB090213	-	216	216	C	C	FALSE	0
AB090214	-	216	216	C	I/C	FALSE	0
AB090215	-	216	216	C	C	FALSE	0
AB090216	-	216	216	C	B	FALSE	0
AB090217	-	216	216	C	B	FALSE	0
AB090218	-	216	216	C	C	FALSE	0
AB090219	-	216	216	C	C	FALSE	0
AB090220	-	216	216	C	I/C	FALSE	0
AB090221	-	216	216	C	I/C/F/E/D/B	FALSE	0
AB090222	-	216	216	C	C/I	FALSE	0
AB090223	-	216	216	C	C	FALSE	0
AB090224	-	216	216	C	C	FALSE	0
AB090225	-	216	216	C	C	FALSE	0
AB090226	-	216	216	C	C	FALSE	0
AB090227	-	216	216	C	C	FALSE	0
AB090228	-	216	216	C	C	FALSE	0
AB090229	-	216	216	C	C/I	FALSE	0
AB090230	-	216	216	C	C	FALSE	0
AB090268	-	3182	3182	D	D	FALSE	0
AB090269	-	3194	3194	D	D	FALSE	0
AB090270	-	3182	3182	D	D	FALSE	0
AB091255	-	3212	3212	E	E	FALSE	0
AB091256	-	3212	3212	E	E	FALSE	0
AB091257	-	681	681	E	E	FALSE	0
AB091258	-	681	681	E	E	FALSE	0
AB091259	-	681	681	E	E	FALSE	0
AB091260	-	681	681	E	E	FALSE	0
AB091261	-	681	681	E	E	FALSE	0
AB091262	-	681	681	E	E	FALSE	0
AB091263	-	681	681	E	E	FALSE	0
AB091264	-	681	681	E	E	FALSE	0
AB091265	-	681	681	E	E	FALSE	0
AB091266	-	681	681	E	E	FALSE	0
AB099497	-	216	216	-	B	FALSE	0
AB099498	-	216	216	-	B/I/C	FALSE	0
AB099499	-	216	216	-	I/C	FALSE	0
AB099500	-	216	216	-	I/C	FALSE	0
AB099501	-	216	216	-	I/C	FALSE	0
AB099502	-	216	216	-	I/C	FALSE	0
AB099503	-	216	216	-	I/C	FALSE	0
AB099504	-	216	216	-	I/C	FALSE	0
AB100695	-	3215	3215	-	B	FALSE	0
AB104709	Egypt	3182	3182	D	D	FALSE	0
AB104710	Egypt	3182	3182	D	D	FALSE	0
AB104711	Egypt	3182	3182	D	D	FALSE	0
AB104712	Egypt	3182	3182	D	D	FALSE	0
AB104713	Egypt	1170	1170	D	D	FALSE	834
AB104714	Egypt	1170	1170	D	D	FALSE	834
AB104715	Egypt	1170	1170	D	D	FALSE	834
AB104716	Egypt	1170	1170	D	D	FALSE	834
AB104717	Egypt	1170	1170	D	D	FALSE	834
AB104718	Egypt	1170	1170	D	D	FALSE	834
AB104719	Egypt	1170	1170	D	D	FALSE	834
AB104720	Egypt	1170	1170	D	D	FALSE	834
AB104721	Egypt	1170	1170	D	D	FALSE	834
AB104722	Egypt	1170	1170	D	D	FALSE	834
AB104723	Egypt	1170	1170	D	D	FALSE	834
AB104888	-	465	465	A	A	FALSE	0
AB104889	-	465	465	A	A	FALSE	0
AB104890	-	465	465	B	B	FALSE	0
AB104891	-	465	465	B	B	FALSE	0
AB104892	-	465	465	C	C	FALSE	0
AB104893	-	465	465	C	C	FALSE	0
AB104894	-	465	465	D	D	FALSE	0
AB104895	-	465	465	D	D	FALSE	0
AB105172	United States	3215	3215	C	C	FALSE	0
AB105173	United States	3215	3215	C	C	FALSE	0
AB105174	United States	3215	3215	C	C	FALSE	0
AB106564	Ghana	3212	3212	E	E	FALSE	0
AB106884	Japan	3215	3215	-	B	FALSE	0
AB106885	Japan	3216	3216	-	B	FALSE	0
AB106895	Japan	3215	3215	-	C	FALSE	0
AB109475	-	3182	3182	D	D	FALSE	0
AB109476	-	3182	3182	D	D	FALSE	0
AB109477	-	3182	3182	D	D	FALSE	0
AB109478	-	3182	3182	D	D	FALSE	0
AB109479	-	3182	3182	D	D	FALSE	0
AB109480	-	681	681	D	D	FALSE	0
AB109481	-	681	681	D	D	FALSE	0
AB109482	-	681	681	D	D	FALSE	0
AB109483	-	681	681	D	D	FALSE	0
AB109484	-	681	681	D	D	FALSE	0
AB109485	-	681	681	D	D	FALSE	0
AB109486	-	681	681	D	D	FALSE	0
AB109487	-	681	681	D	D	FALSE	0
AB109488	-	681	681	D	D	FALSE	0
AB110075	-	3182	3182	-	D	FALSE	0
AB110423	-	437	437	-	A	FALSE	0
AB110424	-	437	437	-	A	FALSE	0
AB110425	-	437	437	-	A	FALSE	0
AB110426	-	437	437	-	A	FALSE	0
AB110427	-	437	437	-	B	FALSE	0
AB110428	-	437	437	-	B	FALSE	0
AB110429	-	437	437	-	B	FALSE	0
AB110430	-	437	437	-	B	FALSE	0
AB110431	-	437	437	-	B	FALSE	0
AB110432	-	437	437	-	B	FALSE	0
AB110433	-	437	436	-	B	FALSE	0
AB110434	-	437	437	-	B	FALSE	0
AB110435	-	437	437	-	B	FALSE	0
AB110436	-	437	437	-	B	FALSE	0
AB110437	-	437	437	-	C	FALSE	0
AB110438	-	437	437	-	C	FALSE	0
AB111112	-	3107	3105	-	C	FALSE	0
AB111113	-	3107	3107	-	C	FALSE	0
AB111114	-	3215	3215	-	C	FALSE	0
AB111115	-	2966	2966	-	C	FALSE	0
AB111116	-	3071	3071	-	C	FALSE	0
AB111117	-	3167	3167	-	C	FALSE	0
AB111118	-	3005	3005	-	C	FALSE	0
AB111119	-	3215	3215	-	C	FALSE	0
AB111120	-	3215	3215	-	C	FALSE	0
AB111121	-	3215	3215	-	C	FALSE	0
AB111122	-	3215	3215	-	C	FALSE	0
AB111123	-	3215	3215	-	C	FALSE	0
AB111124	-	3215	3215	-	C	FALSE	0
AB111125	-	3215	3215	-	C	FALSE	0
AB111946	Vietnam	3215	3215	-	C	FALSE	0
AB112063	Vietnam	3215	3215	C	C	FALSE	0
AB112065	Vietnam	3215	3215	C	C	FALSE	0
AB112066	Myanmar	3215	3215	C	C	FALSE	0
AB112340	Uzbekistan	437	437	-	D	FALSE	0
AB112341	Uzbekistan	437	437	-	D	FALSE	0
AB112342	Uzbekistan	437	437	-	D	FALSE	0
AB112343	Uzbekistan	437	437	-	D	FALSE	0
AB112344	Uzbekistan	437	437	-	D	FALSE	0
AB112345	Uzbekistan	437	437	-	D	FALSE	0
AB112348	Myanmar	3215	3215	C	C	FALSE	0
AB112408	Myanmar	3206	3206	C	C	FALSE	0
AB112471	Thailand	3215	3215	C	C	FALSE	0
AB112472	Thailand	3215	3215	C	C	FALSE	0
AB113218	-	423	423	-	B	FALSE	0
AB113219	-	423	423	-	B	FALSE	0
AB113220	-	423	423	-	B	FALSE	0
AB113221	-	423	423	-	B	FALSE	0
AB113222	-	423	423	-	B	FALSE	0
AB113223	-	423	423	-	B	FALSE	0
AB113224	-	423	423	-	B	FALSE	0
AB113225	-	423	423	-	B	FALSE	0
AB113226	-	423	423	-	B	FALSE	0
AB113227	-	423	423	-	B	FALSE	0
AB113228	-	423	423	-	B	FALSE	0
AB113229	-	423	423	-	B	FALSE	0
AB113230	-	423	423	-	B	FALSE	0
AB113231	-	423	423	-	B	FALSE	0
AB113232	-	423	423	-	B	FALSE	0
AB113233	-	423	423	-	B	FALSE	0
AB113234	-	423	423	-	B	FALSE	0
AB113235	-	423	423	-	B	FALSE	0
AB113236	-	423	423	-	B	FALSE	0
AB113237	-	423	423	-	B	FALSE	0
AB113238	-	423	423	-	B	FALSE	0
AB113239	-	213	213	-	B	FALSE	0
AB113240	-	213	213	-	B	FALSE	0
AB113241	-	213	213	-	B	FALSE	0
AB113242	-	213	213	-	B	FALSE	0
AB113243	-	213	213	-	B	FALSE	0
AB113273	-	213	213	-	B	FALSE	0
AB113274	-	213	213	-	B	FALSE	0
AB113275	-	213	213	-	B	FALSE	0
AB113276	-	213	213	-	B	FALSE	0
AB113277	-	213	213	-	B	FALSE	0
AB113278	-	213	213	-	B	FALSE	0
AB113279	-	213	213	-	B	FALSE	0
AB113280	-	213	213	-	B	FALSE	0
AB113281	-	213	213	-	B	FALSE	0
AB113282	-	213	213	-	B	FALSE	0
AB113283	-	213	213	-	B	FALSE	0
AB113284	-	213	213	-	B	FALSE	0
AB113285	-	213	213	-	B	FALSE	0
AB113286	-	213	213	-	B	FALSE	0
AB113287	-	213	213	-	B	FALSE	0
AB113288	-	213	213	-	B	FALSE	0
AB113289	-	213	213	-	B	FALSE	0
AB113290	-	213	213	-	B	FALSE	0
AB113291	-	213	213	-	B	FALSE	0
AB113292	-	213	213	-	B	FALSE	0
AB113293	-	213	213	-	B	FALSE	0
AB113294	-	213	213	-	B	FALSE	0
AB113295	-	213	213	-	B	FALSE	0
AB113296	-	213	212	-	B	FALSE	0
AB113297	-	213	213	-	B	FALSE	0
AB113298	-	213	213	-	B	FALSE	0
AB113299	-	423	423	-	B	FALSE	0
AB113300	-	213	213	-	B	FALSE	0
AB113875	-	3215	3215	C	C	FALSE	0
AB113876	-	3215	3215	C	C	FALSE	0
AB113877	-	3179	3179	C	C	FALSE	0
AB113878	-	3215	3215	C	C	FALSE	0
AB113879	-	3215	3215	C	C	FALSE	0
AB115417	Japan	3215	3215	C	C	FALSE	0
AB115418	Japan	3170	3170	C	C	FALSE	0
AB115551	Cambodia	3215	3214	B	B	FALSE	0
AB116076	United States	3221	3221	-	A	FALSE	0
AB116077	United States	3221	3221	-	A	FALSE	0
AB116078	United States	3221	3221	-	A	FALSE	0
AB116079	Japan	3221	3221	-	A	FALSE	0
AB116080	Japan	3221	3221	-	A	FALSE	0
AB116081	Japan	3221	3221	-	A	FALSE	0
AB116082	Bangladesh	3221	3221	-	A	FALSE	0
AB116083	Bangladesh	3221	3221	-	A	FALSE	0
AB116084	Bangladesh	3221	3221	-	A	FALSE	0
AB116085	Bangladesh	3221	3218	-	A	FALSE	0
AB116086	India	3221	3221	-	A	FALSE	0
AB116087	India	3221	3221	-	A	FALSE	0
AB116088	Nepal	3221	3221	-	A	FALSE	0
AB116089	Nepal	3221	3221	-	A	FALSE	0
AB116090	Nepal	3200	3200	-	A	FALSE	0
AB116091	Philippines	3221	3219	-	A	FALSE	0
